flow,fy_start,hs_code,commodity,prev_year_usd_mn,cur_year_usd_mn,growth_pct,header,pulled_on
exports,2024,02,MEAT AND EDIBLE MEAT OFFAL.,3832.6,4159.0,8.52,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",6124.21,6296.53,2.81,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",624.77,853.99,36.69,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",268.95,289.79,7.75,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,86.7,88.58,2.17,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,1940.68,2192.81,12.99,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,1637.12,1695.09,3.54,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,09,"COFFEE, TEA, MATE AND SPICES.",4738.58,5364.76,13.21,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,10,CEREALS.,10994.03,12752.39,15.99,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,720.84,727.53,0.93,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2143.78,2127.85,-0.74,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",972.32,1127.65,15.98,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
exports,2024,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,45.77,46.95,2.6,"S.No. | HSCode | Commodity | 2023 - 2024 | %Share | 2024 - 2025 | %Share | %Growth | 1 | 01 | LIVE ANIMALS. | 12.37 | 0.0028 | 19.70 | 0.0045 | 59.17 | India's Total Export | 437,072.03 |  | 437,704.58 |  | 0.14",2026-07-21
